level 5
#{{l|ja|会う}}, {{l|ja|あう}} -to meet
#{{l|ja|青}}, {{l|ja|あお}} -blue
#{{l|ja|青い}}, {{l|ja|あおい}} -blue
#{{l|ja|赤}}, {{l|ja|あか}} -red
#{{l|ja|赤い}}, {{l|ja|あかい}} -red
#{{l|ja|明い}}, {{l|ja|あかるい}} -bright
#{{l|ja|秋}}, {{l|ja|あき}} -autumn
#{{l|ja|開く}}, {{l|ja|あく}} -to open,to become open
#{{l|ja|開ける}}, {{l|ja|あける}} -to open
#{{l|ja|上げる}}, {{l|ja|あげる}} -to give
#{{l|ja|朝}}, {{l|ja|あさ}} -morning
#{{l|ja|朝御飯}}, {{l|ja|あさごはん}} -breakfast
#{{l|ja|あさって}} -day after tomorrow
#{{l|ja|足}}, {{l|ja|あし}} -foot,leg
#{{l|ja|明日}}, {{l|ja|あした}} -tomorrow
#{{l|ja|あそこ}} -over there
#{{l|ja|遊ぶ}}, {{l|ja|あそぶ}} -to play,to make a visit
#{{l|ja|暖かい}}, {{l|ja|あたたかい}} -warm
#{{l|ja|頭}}, {{l|ja|あたま}} -head
#{{l|ja|新しい}}, {{l|ja|あたらしい}} -new
#{{l|ja|あちら}} -there
#{{l|ja|暑い}}, {{l|ja|あつい}} -hot
#{{l|ja|熱い}}, {{l|ja|あつい}} -hot to the touch
#{{l|ja|厚い}}, {{l|ja|あつい}} -kind, deep, thick
#{{l|ja|あっち}} -over there
#{{l|ja|後}}, {{l|ja|あと}} -afterwards
#{{l|ja|あなた}} -you
#{{l|ja|兄}}, {{l|ja|あに}} -(humble) older brother
#{{l|ja|姉}}, {{l|ja|あね}} -(humble) older sister
#{{l|ja|あの}} -that over there
#{{l|ja|あの}} -um...
#{{l|ja|アパート}} -apartment
#{{l|ja|あびる}} -to bathe,to shower
#{{l|ja|危ない}}, {{l|ja|あぶない}} -dangerous
#{{l|ja|甘い}}, {{l|ja|あまい}} -sweet
#{{l|ja|あまり}} -not very
#{{l|ja|雨}}, {{l|ja|あめ}} -rain
#{{l|ja|飴}}, {{l|ja|あめ}} -candy
